experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  prompt method: direct
  prompt structure: labeled_test_first

---------------------------------------
  test split name: test
---------------------------------------

0 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
1 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
2 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
3 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
4 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
5 | expected:'cat_1' | got='cat_1 | full: [' cat_1\n']'
6 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
7 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
8 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
9 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
10 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
11 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
12 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
13 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
14 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
15 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
16 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
17 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
18 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
19 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
20 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
21 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
22 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
23 | expected:'cat_1' | got='cat_1 | full: [' cat_1\n']'
24 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
25 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
26 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
27 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
28 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
29 | expected:'cat_1' | got='cat_2 | full: [' cat_2\n']'
30 | expected:'cat_2' | got='cat_2 | full: [' cat_2\n']'
31 | expected:'cat_1' | got='cat_1 | full: [' cat_1\n']'
